act: Up    | ter: False | rew: -1 | pos:  1.560 | vel: -0.643
act: Up    | ter: False | rew: -1 | pos:  1.600 | vel:  1.464
act: Down  | ter: False | rew: -1 | pos:  1.619 | vel: -1.105
act: Idle  | ter: False | rew: 1  | pos:  1.445 | vel: -2.400
act: Up    | ter: False | rew: 1  | pos:  1.302 | vel: -0.427
act: Idle  | ter: False | rew: 2  | pos:  1.216 | vel: -1.300
act: Idle  | ter: False | rew: 4  | pos:  1.034 | vel: -2.366
act: Up    | ter: False | rew: 4  | pos:  0.898 | vel: -0.333
act: Idle  | ter: False | rew: 2  | pos:  0.823 | vel: -1.168
act: Idle  | ter: False | rew: 1  | pos:  0.655 | vel: -2.204
act: Up    | ter: False | rew: 1  | pos:  0.536 | vel: -0.145
act: Idle  | ter: False | rew: -1 | pos:  0.482 | vel: -0.960
act: Idle  | ter: False | rew: -1 | pos:  0.335 | vel: -1.979
act: Up    | ter: False | rew: -1 | pos:  0.240 | vel:  0.093
act: Idle  | ter: False | rew: -1 | pos:  0.209 | vel: -0.714
act: Idle  | ter: False | rew: -1 | pos:  0.087 | vel: -1.729
act: Idle  | ter: False | rew: -1 | pos: -0.131 | vel: -2.656
act: Up    | ter: False | rew: -1 | pos: -0.288 | vel: -0.464
act: Up    | ter: False | rew: -1 | pos: -0.220 | vel:  1.847
act: Up    | ter: False | rew: -1 | pos:  0.068 | vel:  3.944
act: Down  | ter: False | rew: -1 | pos:  0.331 | vel:  1.291
act: Idle  | ter: False | rew: -1 | pos:  0.391 | vel: -0.111
act: Idle  | ter: False | rew: -1 | pos:  0.323 | vel: -1.261
act: Idle  | ter: False | rew: -1 | pos:  0.147 | vel: -2.269
act: Up    | ter: False | rew: -1 | pos:  0.025 | vel: -0.150
act: Idle  | ter: False | rew: -1 | pos: -0.028 | vel: -0.908
act: Up    | ter: False | rew: -1 | pos: -0.018 | vel:  1.125
act: Up    | ter: False | rew: -1 | pos:  0.199 | vel:  3.242
act: Down  | ter: False | rew: -1 | pos:  0.395 | vel:  0.645
act: Up    | ter: False | rew: 1  | pos:  0.542 | vel:  2.303
act: Down  | ter: False | rew: 1  | pos:  0.644 | vel: -0.285
act: Down  | ter: False | rew: -1 | pos:  0.478 | vel: -3.062
act: Up    | ter: False | rew: -1 | pos:  0.270 | vel: -1.078
act: Down  | ter: False | rew: -1 | pos:  0.053 | vel: -3.285
act: Up    | ter: False | rew: -1 | pos: -0.171 | vel: -1.180
act: Up    | ter: False | rew: -1 | pos: -0.173 | vel:  1.179
act: Up    | ter: False | rew: -1 | pos:  0.052 | vel:  3.339
act: Down  | ter: False | rew: -1 | pos:  0.258 | vel:  0.752
act: Up    | ter: False | rew: -1 | pos:  0.416 | vel:  2.415
act: Down  | ter: False | rew: 1  | pos:  0.529 | vel: -0.171
