act: Up    | ter: False | rew: 4  | pos:  2.396 | vel:  0.566
act: Idle  | ter: False | rew: 4  | pos:  2.400 | vel: -0.499
act: Up    | ter: False | rew: 4  | pos:  2.435 | vel:  1.221
act: Idle  | ter: False | rew: 4  | pos:  2.499 | vel:  0.052
act: Idle  | ter: False | rew: 4  | pos:  2.438 | vel: -1.300
act: Up    | ter: False | rew: 4  | pos:  2.395 | vel:  0.463
act: Idle  | ter: False | rew: 4  | pos:  2.387 | vel: -0.625
act: Up    | ter: False | rew: 4  | pos:  2.411 | vel:  1.106
act: Idle  | ter: False | rew: 4  | pos:  2.464 | vel: -0.048
act: Up    | ter: False | rew: 4  | pos:  2.541 | vel:  1.614
act: Down  | ter: False | rew: 4  | pos:  2.568 | vel: -1.109
act: Down  | ter: False | rew: 2  | pos:  2.313 | vel: -4.013
act: Up    | ter: False | rew: 1  | pos:  2.005 | vel: -2.135
act: Up    | ter: False | rew: -1 | pos:  1.901 | vel:  0.075
act: Idle  | ter: False | rew: -1 | pos:  1.861 | vel: -0.883
act: Up    | ter: False | rew: -1 | pos:  1.863 | vel:  0.938
act: Up    | ter: False | rew: 1  | pos:  2.052 | vel:  2.864
act: Down  | ter: False | rew: 1  | pos:  2.202 | vel:  0.098
act: Idle  | ter: False | rew: 1  | pos:  2.138 | vel: -1.389
act: Up    | ter: False | rew: 1  | pos:  2.087 | vel:  0.400
act: Idle  | ter: False | rew: 1  | pos:  2.075 | vel: -0.649
act: Up    | ter: False | rew: 1  | pos:  2.098 | vel:  1.119
act: Idle  | ter: False | rew: 1  | pos:  2.154 | vel: -0.001
act: Up    | ter: False | rew: 1  | pos:  2.238 | vel:  1.690
act: Idle  | ter: False | rew: 2  | pos:  2.348 | vel:  0.494
act: Idle  | ter: False | rew: 2  | pos:  2.329 | vel: -0.888
act: Up    | ter: False | rew: 2  | pos:  2.326 | vel:  0.844
act: Idle  | ter: False | rew: 2  | pos:  2.355 | vel: -0.277
act: Up    | ter: False | rew: 4  | pos:  2.411 | vel:  1.421
act: Idle  | ter: False | rew: 4  | pos:  2.494 | vel:  0.234
act: Idle  | ter: False | rew: 4  | pos:  2.450 | vel: -1.138
act: Up    | ter: False | rew: 4  | pos:  2.423 | vel:  0.607
act: Idle  | ter: False | rew: 4  | pos:  2.428 | vel: -0.499
act: Up    | ter: False | rew: 4  | pos:  2.463 | vel:  1.214
act: Idle  | ter: False | rew: 4  | pos:  2.527 | vel:  0.042
act: Idle  | ter: False | rew: 4  | pos:  2.464 | vel: -1.312
act: Up    | ter: False | rew: 4  | pos:  2.420 | vel:  0.449
act: Idle  | ter: False | rew: 4  | pos:  2.411 | vel: -0.640
act: Up    | ter: False | rew: 4  | pos:  2.433 | vel:  1.090
act: Idle  | ter: False | rew: 4  | pos:  2.484 | vel: -0.065
act: Up    | ter: False | rew: 4  | pos:  2.560 | vel:  1.596
act: Idle  | ter: False | rew: 2  | pos:  2.659 | vel:  0.374
act: Idle  | ter: False | rew: 2  | pos:  2.627 | vel: -1.031
act: Up    | ter: False | rew: 4  | pos:  2.609 | vel:  0.683
act: Idle  | ter: False | rew: 4  | pos:  2.621 | vel: -0.453
act: Up    | ter: False | rew: 2  | pos:  2.659 | vel:  1.234
act: Idle  | ter: False | rew: 2  | pos:  2.723 | vel:  0.038
act: Idle  | ter: False | rew: 2  | pos:  2.659 | vel: -1.338
act: Up    | ter: False | rew: 4  | pos:  2.611 | vel:  0.404
act: Idle  | ter: False | rew: 4  | pos:  2.597 | vel: -0.702
act: Up    | ter: False | rew: 4  | pos:  2.612 | vel:  1.013
act: Idle  | ter: False | rew: 2  | pos:  2.655 | vel: -0.153
act: Up    | ter: False | rew: 2  | pos:  2.722 | vel:  1.498
act: Idle  | ter: False | rew: 1  | pos:  2.811 | vel:  0.267
