act: Idle  | ter: False | rew: -1 | pos:  1.661 | vel:  0.673
act: Up    | ter: False | rew: -1 | pos:  1.810 | vel:  2.315
act: Idle  | ter: False | rew: -1 | pos:  1.981 | vel:  1.097
act: Up    | ter: False | rew: -1 | pos:  2.170 | vel:  2.692
act: Down  | ter: False | rew: -1 | pos:  2.301 | vel: -0.102
act: Idle  | ter: False | rew: -1 | pos:  2.217 | vel: -1.583
act: Idle  | ter: False | rew: -1 | pos:  1.999 | vel: -2.783
act: Up    | ter: False | rew: -1 | pos:  1.818 | vel: -0.820
act: Up    | ter: False | rew: -1 | pos:  1.841 | vel:  1.292
act: Idle  | ter: False | rew: -1 | pos:  1.917 | vel:  0.215
act: Idle  | ter: False | rew: -1 | pos:  1.874 | vel: -1.086
act: Idle  | ter: False | rew: -1 | pos:  1.706 | vel: -2.281
act: Up    | ter: False | rew: -1 | pos:  1.574 | vel: -0.335
act: Up    | ter: False | rew: -1 | pos:  1.644 | vel:  1.753
act: Up    | ter: False | rew: -1 | pos:  1.913 | vel:  3.649
act: Idle  | ter: False | rew: -1 | pos:  2.212 | vel:  2.320
act: Down  | ter: False | rew: -1 | pos:  2.293 | vel: -0.736
act: Idle  | ter: False | rew: -1 | pos:  2.148 | vel: -2.182
act: Down  | ter: False | rew: -1 | pos:  1.800 | vel: -4.815
act: Up    | ter: False | rew: 1  | pos:  1.419 | vel: -2.781
act: Up    | ter: False | rew: 1  | pos:  1.257 | vel: -0.437
act: Idle  | ter: False | rew: 2  | pos:  1.172 | vel: -1.267
act: Down  | ter: False | rew: 4  | pos:  0.918 | vel: -3.828
act: Up    | ter: False | rew: 1  | pos:  0.636 | vel: -1.793
act: Down  | ter: False | rew: -1 | pos:  0.350 | vel: -3.964
act: Up    | ter: False | rew: -1 | pos:  0.059 | vel: -1.820
act: Idle  | ter: False | rew: -1 | pos: -0.152 | vel: -2.420
act: Up    | ter: False | rew: -1 | pos: -0.285 | vel: -0.215
act: Up    | ter: False | rew: -1 | pos: -0.194 | vel:  2.073
act: Up    | ter: False | rew: -1 | pos:  0.116 | vel:  4.143
act: Down  | ter: False | rew: -1 | pos:  0.398 | vel:  1.464
act: Down  | ter: False | rew: -1 | pos:  0.399 | vel: -1.464
act: Down  | ter: False | rew: -1 | pos:  0.121 | vel: -4.139
act: Up    | ter: False | rew: -1 | pos: -0.188 | vel: -2.006
act: Up    | ter: False | rew: -1 | pos: -0.267 | vel:  0.436
act: Up    | ter: False | rew: -1 | pos: -0.113 | vel:  2.684
act: Up    | ter: False | rew: -1 | pos:  0.255 | vel:  4.684
act: Down  | ter: False | rew: 1  | pos:  0.587 | vel:  1.933
act: Up    | ter: False | rew: 2  | pos:  0.855 | vel:  3.434
act: Idle  | ter: False | rew: 2  | pos:  1.137 | vel:  2.191
act: Idle  | ter: False | rew: 1  | pos:  1.285 | vel:  0.764
act: Up    | ter: False | rew: 1  | pos:  1.444 | vel:  2.439
act: Idle  | ter: False | rew: -1 | pos:  1.629 | vel:  1.249
act: Up    | ter: False | rew: -1 | pos:  1.835 | vel:  2.868
act: Idle  | ter: False | rew: -1 | pos:  2.058 | vel:  1.593
act: Idle  | ter: False | rew: -1 | pos:  2.145 | vel:  0.127
act: Down  | ter: False | rew: -1 | pos:  2.016 | vel: -2.727
act: Down  | ter: False | rew: -1 | pos:  1.609 | vel: -5.436
act: Up    | ter: False | rew: 2  | pos:  1.170 | vel: -3.332
act: Up    | ter: False | rew: 4  | pos:  0.957 | vel: -0.903
act: Up    | ter: False | rew: 4  | pos:  0.978 | vel:  1.349
act: Up    | ter: False | rew: 2  | pos:  1.213 | vel:  3.367
act: Up    | ter: False | rew: -1 | pos:  1.638 | vel:  5.147
act: Down  | ter: False | rew: -1 | pos:  2.006 | vel:  2.191
act: Down  | ter: False | rew: -1 | pos:  2.067 | vel: -0.995
act: Idle  | ter: False | rew: -1 | pos:  1.898 | vel: -2.407
act: Idle  | ter: False | rew: -1 | pos:  1.604 | vel: -3.490
act: Up    | ter: False | rew: 1  | pos:  1.358 | vel: -1.408
act: Up    | ter: False | rew: 1  | pos:  1.327 | vel:  0.817
act: Up    | ter: False | rew: -1 | pos:  1.510 | vel:  2.849
act: Up    | ter: False | rew: -1 | pos:  1.884 | vel:  4.649
act: Down  | ter: False | rew: -1 | pos:  2.203 | vel:  1.718
act: Down  | ter: False | rew: -1 | pos:  2.219 | vel: -1.440
act: Idle  | ter: False | rew: -1 | pos:  2.006 | vel: -2.822
act: Down  | ter: False | rew: -1 | pos:  1.598 | vel: -5.373
act: Up    | ter: False | rew: 2  | pos:  1.165 | vel: -3.259
act: Up    | ter: False | rew: 4  | pos:  0.959 | vel: -0.835
act: Up    | ter: False | rew: 4  | pos:  0.987 | vel:  1.410
act: Up    | ter: False | rew: 2  | pos:  1.228 | vel:  3.421
act: Up    | ter: False | rew: -1 | pos:  1.657 | vel:  5.193
act: Up    | ter: False | rew: -1 | pos:  2.253 | vel:  6.730
act: Down  | ter: False | rew: -1 | pos:  2.768 | vel:  3.538
act: Down  | ter: False | rew: -1 | pos:  2.952 | vel:  0.124
act: Down  | ter: False | rew: -1 | pos:  2.810 | vel: -3.005
act: Down  | ter: False | rew: -1 | pos:  2.371 | vel: -5.794
act: Idle  | ter: False | rew: -1 | pos:  1.745 | vel: -6.741
act: Up    | ter: False | rew: 2  | pos:  1.189 | vel: -4.350
act: Up    | ter: False | rew: 4  | pos:  0.881 | vel: -1.798
act: Up    | ter: False | rew: 2  | pos:  0.818 | vel:  0.560
act: Down  | ter: False | rew: 2  | pos:  0.756 | vel: -1.821
act: Up    | ter: False | rew: 1  | pos:  0.667 | vel:  0.058
act: Up    | ter: False | rew: 2  | pos:  0.778 | vel:  2.192
act: Idle  | ter: False | rew: 4  | pos:  0.945 | vel:  1.139
act: Up    | ter: False | rew: 2  | pos:  1.144 | vel:  2.850
act: Idle  | ter: False | rew: 1  | pos:  1.370 | vel:  1.654
act: Up    | ter: False | rew: -1 | pos:  1.614 | vel:  3.260
act: Idle  | ter: False | rew: -1 | pos:  1.876 | vel:  1.968
act: Up    | ter: False | rew: -1 | pos:  2.148 | vel:  3.483
act: Down  | ter: False | rew: -1 | pos:  2.354 | vel:  0.608
act: Down  | ter: False | rew: -1 | pos:  2.263 | vel: -2.454
act: Down  | ter: False | rew: -1 | pos:  1.880 | vel: -5.234
act: Up    | ter: False | rew: 1  | pos:  1.458 | vel: -3.184
act: Up    | ter: False | rew: 1  | pos:  1.258 | vel: -0.803
act: Up    | ter: False | rew: 1  | pos:  1.287 | vel:  1.405
act: Down  | ter: False | rew: 1  | pos:  1.303 | vel: -1.118
act: Up    | ter: False | rew: 1  | pos:  1.277 | vel:  0.625
act: Down  | ter: False | rew: 2  | pos:  1.216 | vel: -1.869
act: Up    | ter: False | rew: 4  | pos:  1.120 | vel: -0.043
act: Up    | ter: False | rew: 2  | pos:  1.219 | vel:  2.050
act: Idle  | ter: False | rew: 1  | pos:  1.370 | vel:  0.962
act: Down  | ter: False | rew: 1  | pos:  1.327 | vel: -1.856
act: Up    | ter: False | rew: 2  | pos:  1.229 | vel: -0.075
act: Up    | ter: False | rew: 1  | pos:  1.325 | vel:  2.006
act: Up    | ter: False | rew: -1 | pos:  1.620 | vel:  3.910
act: Idle  | ter: False | rew: -1 | pos:  1.945 | vel:  2.586
act: Idle  | ter: False | rew: -1 | pos:  2.127 | vel:  1.032
act: Down  | ter: False | rew: -1 | pos:  2.084 | vel: -1.915
act: Idle  | ter: False | rew: -1 | pos:  1.828 | vel: -3.217
act: Up    | ter: False | rew: -1 | pos:  1.606 | vel: -1.205
act: Up    | ter: False | rew: -1 | pos:  1.593 | vel:  0.969
act: Down  | ter: False | rew: -1 | pos:  1.565 | vel: -1.546
act: Up    | ter: False | rew: 1  | pos:  1.498 | vel:  0.212
act: Down  | ter: False | rew: 1  | pos:  1.396 | vel: -2.263
act: Up    | ter: False | rew: 1  | pos:  1.262 | vel: -0.416
act: Up    | ter: False | rew: 1  | pos:  1.325 | vel:  1.701
act: Down  | ter: False | rew: 1  | pos:  1.368 | vel: -0.863
act: Up    | ter: False | rew: 1  | pos:  1.366 | vel:  0.845
act: Down  | ter: False | rew: 1  | pos:  1.326 | vel: -1.682
act: Up    | ter: False | rew: 2  | pos:  1.246 | vel:  0.112
act: Down  | ter: False | rew: 2  | pos:  1.137 | vel: -2.325
act: Up    | ter: False | rew: 4  | pos:  0.997 | vel: -0.443
act: Up    | ter: False | rew: 4  | pos:  1.060 | vel:  1.707
act: Up    | ter: False | rew: 1  | pos:  1.328 | vel:  3.673
act: Up    | ter: False | rew: -1 | pos:  1.781 | vel:  5.406
